callsign,icao,name,prefix,fir
EDGG_KTG,EDGG-KTG,Langen Radar (Kitzingen) - Langen,EDGG_KTG,EDGG-KTG
EDGG-KTG,EDGG-KTG,Langen Radar (Kitzingen) - Langen,EDGG_KTG,EDGG-KTG
EDGG_HMM,EDGG-HMM,Langen Radar (Hamm) - Langen,EDGG_HMM,EDGG-HMM
EDGG-HMM,EDGG-HMM,Langen Radar (Hamm) - Langen,EDGG_HMM,EDGG-HMM
EDGG_PAH,EDGG-PAH,Langen Radar (Pad High) - Langen,EDGG_PAH,EDGG-PAH
EDGG-PAH,EDGG-PAH,Langen Radar (Pad High) - Langen,EDGG_PAH,EDGG-PAH
EDGG,EDGG,Langen,,EDGG
EDMM,EDMM,Muenchen,,EDMM
EDMM_Z,EDMM-Z,Muenchen ACC (Zugspitze) - Muenchen,EDMM_Z,EDMM-Z
EDMM-Z,EDMM-Z,Muenchen ACC (Zugspitze) - Muenchen,EDMM_Z,EDMM-Z
EDMM_U,EDMM-Z,Muenchen ACC (Zugspitze) - Muenchen,EDMM_U,EDMM-Z
EDMM_T,EDMM-Z,Muenchen ACC (Zugspitze) - Muenchen,EDMM_T,EDMM-Z
EDMM_N,EDMM-Z,Muenchen ACC (Zugspitze) - Muenchen,EDMM_N,EDMM-Z
EDMM_W,EDMM-Z,Muenchen ACC (Zugspitze) - Muenchen,EDMM_W,EDMM-Z
EDMM_A,EDMM-Z,Muenchen ACC (Zugspitze) - Muenchen,EDMM_A,EDMM-Z
EDMM_R,EDMM-R,Muenchen ACC (Roding) - Muenchen,EDMM_R,EDMM-R
EDMM-R,EDMM-R,Muenchen ACC (Roding) - Muenchen,EDMM_R,EDMM-R
EDMM_E,EDMM-R,Muenchen ACC (Roding) - Muenchen,EDMM_E,EDMM-R
EDMM_O,EDMM-O,Muenchen ACC (Hof) - Muenchen,EDMM_O,EDMM-O
EDMM-O,EDMM-O,Muenchen ACC (Hof) - Muenchen,EDMM_O,EDMM-O
EDMM_B,EDMM-O,Muenchen ACC (Hof) - Muenchen,EDMM_B,EDMM-O
EDMM_G,EDMM-G,Muenchen ACC (Gera) - Muenchen,EDMM_G,EDMM-G
